Time,W,A,C,S,Temperature
1.460000,0.001967,0.000645,2.306590,0.000389,29.471418
1.470000,0.001969,0.000646,2.305686,0.000385,29.474418
1.480000,0.001971,0.000646,2.304783,0.000382,29.477409
1.490000,0.001973,0.000646,2.303881,0.000378,29.480390
1.500000,0.001975,0.000647,2.302980,0.000375,29.483361
1.510000,0.001977,0.000647,2.302079,0.000371,29.486323
1.520000,0.001979,0.000647,2.301180,0.000368,29.489275
1.530000,0.001981,0.000648,2.300282,0.000364,29.492217
1.540000,0.001983,0.000648,2.299384,0.000361,29.495149
1.550000,0.001985,0.000648,2.298488,0.000358,29.498072
1.560000,0.001987,0.000649,2.297593,0.000354,29.500984
1.570000,0.001989,0.000649,2.296698,0.000351,29.503887
1.580000,0.001991,0.000649,2.295805,0.000348,29.506779
1.590000,0.001993,0.000650,2.294912,0.000345,29.509662
1.600000,0.001995,0.000650,2.294021,0.000342,29.512534
1.610000,0.001997,0.000650,2.293130,0.000338,29.515396
1.620000,0.001999,0.000651,2.292241,0.000335,29.518248
1.630000,0.002001,0.000651,2.291352,0.000332,29.521089
1.640000,0.002003,0.000651,2.290464,0.000329,29.523921
1.650000,0.002005,0.000652,2.289578,0.000326,29.526741
1.660000,0.002007,0.000652,2.288692,0.000323,29.529552
1.670000,0.002009,0.000652,2.287807,0.000320,29.532352
1.680000,0.002011,0.000653,2.286923,0.000317,29.535141
1.690000,0.002013,0.000653,2.286040,0.000314,29.537920
1.700000,0.002015,0.000653,2.285158,0.000311,29.540688
1.710000,0.002017,0.000654,2.284277,0.000309,29.543446
1.720000,0.002019,0.000654,2.283397,0.000306,29.546193
1.730000,0.002021,0.000654,2.282518,0.000303,29.548929
1.740000,0.002023,0.000655,2.281640,0.000300,29.551654
1.750000,0.002025,0.000655,2.280763,0.000297,29.554369
1.760000,0.002027,0.000655,2.279886,0.000295,29.557073
1.770000,0.002029,0.000655,2.279011,0.000292,29.559765
1.780000,0.002031,0.000656,2.278136,0.000289,29.562447
1.790000,0.002033,0.000656,2.277263,0.000287,29.565118
1.800000,0.002035,0.000656,2.276390,0.000284,29.567778
1.810000,0.002037,0.000657,2.275518,0.000281,29.570426
1.820000,0.002039,0.000657,2.274648,0.000279,29.573064
1.830000,0.002041,0.000657,2.273778,0.000276,29.575690
1.840000,0.002043,0.000658,2.272909,0.000274,29.578305
1.850000,0.002045,0.000658,2.272041,0.000271,29.580909
1.860000,0.002047,0.000658,2.271174,0.000269,29.583502
1.870000,0.002049,0.000659,2.270308,0.000266,29.586083
1.880000,0.002051,0.000659,2.269443,0.000264,29.588653
1.890000,0.002053,0.000659,2.268578,0.000261,29.591211
1.900000,0.002055,0.000660,2.267715,0.000259,29.593758
1.910000,0.002057,0.000660,2.266853,0.000257,29.596294
1.920000,0.002059,0.000660,2.265991,0.000254,29.598818
1.930000,0.002061,0.000661,2.265130,0.000252,29.601330
1.940000,0.002063,0.000661,2.264271,0.000250,29.603831
1.950000,0.002065,0.000661,2.263412,0.000247,29.606320
1.960000,0.002068,0.000662,2.262554,0.000245,29.608798
1.970000,0.002070,0.000662,2.261697,0.000243,29.611263
1.980000,0.002072,0.000662,2.260841,0.000241,29.613717
1.990000,0.002074,0.000663,2.259986,0.000238,29.616159
2.000000,0.002076,0.000663,2.259132,0.000236,29.618590
2.010000,0.002078,0.000663,2.258278,0.000234,29.621008
2.020000,0.002080,0.000664,2.257426,0.000232,29.623415
2.030000,0.002082,0.000664,2.256574,0.000230,29.625809
2.040000,0.002084,0.000664,2.255724,0.000228,29.628192
2.050000,0.002086,0.000665,2.254874,0.000226,29.630562
2.060000,0.002088,0.000665,2.254025,0.000223,29.632921
2.070000,0.002090,0.000665,2.253177,0.000221,29.635267
2.080000,0.002092,0.000666,2.252330,0.000219,29.637602
2.090000,0.002095,0.000666,2.251484,0.000217,29.639924
2.100000,0.002097,0.000666,2.250638,0.000215,29.642234
